mode,noise_factor,noisescale,point_id,design_point_number,td,delta_td_ns,corner,enob,snr_db,sfdr_db,compower_w,srpower_w,prewocm_w,switchespower_w,logicpower_w,syncpower_w
full_noise,1,1,11,3,26n,2.00,Nominal,10.9626012884594,67.3902135209919,77.1402506964468,0.000270409191312351,3.05500850679044e-05,0.000163435425327389,8.99103477140421e-05,4.09787181463498e-05,2.53358070977026e-05
full_noise,1,1,12,3,26n,2.00,C0,11.0804491762021,68.3848288797929,79.4379289817023,0.000269926456608208,3.13085118394321e-05,0.000160341659658713,8.55454073841182e-05,4.20548522014799e-05,2.569226201762e-05
full_noise,1,1,13,3,26n,2.00,C1,10.9283141734769,67.4389449476881,78.799233071388,0.000279743550088946,3.0698805339497e-05,0.000169256650202981,9.00542612371222e-05,4.02395418110188e-05,2.49839146882416e-05
full_noise,1,1,14,3,26n,2.00,fs,11.097635199147,68.4614507528311,79.4205419322048,0.000242308143993559,2.88718491460949e-05,0.000141093028629119,8.59918764794216e-05,3.95282333054992e-05,2.48895389207179e-05
full_noise,1,1,15,3,26n,2.00,sf,10.8777411693812,67.0836280018104,78.408726378683,0.000301520340964593,3.27003061552111e-05,0.000185973789772712,9.31742264788531e-05,4.27734100890273e-05,2.57441236724407e-05
full_noise,1,1,16,4,27n,3.00,Nominal,10.9434701931614,67.3459683656267,78.3459024622903,0.000270370076213083,3.05701158988821e-05,0.000163341071673823,8.99030252791074e-05,4.09710631929687e-05,2.53364939322089e-05
full_noise,1,1,17,4,27n,3.00,C0,10.4839571491956,64.9377537967572,76.7303526400208,0.000270117307996482,3.13960127369033e-05,0.000160200186951286,8.57148104939892e-05,4.20794596304055e-05,2.56944625598543e-05
full_noise,1,1,18,4,27n,3.00,C1,10.8901849929388,67.6367840703488,79.8412873030755,0.000279658916462409,3.05347136920233e-05,0.00016921421615473,9.06438157424698e-05,4.02446751439823e-05,2.49805376612304e-05
full_noise,1,1,19,4,27n,3.00,fs,10.4005236514439,64.4372385160202,75.6857533082471,0.000242504259659928,2.89236244234462e-05,0.000140974539347792,8.67102579767975e-05,3.95423475289654e-05,2.48888171107123e-05
full_noise,1,1,20,4,27n,3.00,sf,11.0263059304833,67.9342674206605,78.1764294721862,0.00030172090460339,3.26391124950258e-05,0.000185921986066758,9.37629154613435e-05,4.28384039208981e-05,2.57433864187159e-05
