
time (s)       v("P" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/switch_cdac_map/psf" ?result "tran") (V)
 3.01024e-07    9.00000e-01   
 3.01037e-07    9.00000e-01   
 3.01062e-07    9.00000e-01   
 3.01114e-07    9.00000e-01   
 3.01217e-07    9.00000e-01   
 3.01423e-07    9.00000e-01   
 3.01835e-07    9.00000e-01   
 3.02658e-07    9.00000e-01   
 3.03658e-07    9.00000e-01   
 3.04658e-07    9.00000e-01   
 3.05658e-07    9.00000e-01   
 3.06658e-07    9.00000e-01   
 3.07658e-07    9.00000e-01   
 3.08658e-07    9.00000e-01   
 3.09658e-07    9.00000e-01   
 3.10658e-07    9.00000e-01   
 3.11658e-07    9.00000e-01   
 3.12658e-07    9.00000e-01   
 3.13658e-07    9.00000e-01   
 3.14658e-07    9.00000e-01   
 3.15658e-07    9.00000e-01   
 3.16658e-07    9.00000e-01   
 3.17658e-07    9.00000e-01   
 3.18658e-07    9.00000e-01   
 3.19658e-07    9.00000e-01   
 3.20658e-07    9.00000e-01   
 3.21658e-07    9.00000e-01   
 3.22658e-07    9.00000e-01   
 3.23658e-07    9.00000e-01   
 3.24658e-07    9.00000e-01   
 3.25658e-07    9.00000e-01   
 3.26658e-07    9.00000e-01   
 3.27658e-07    9.00000e-01   
 3.28658e-07    9.00000e-01   
 3.29658e-07    9.00000e-01   
 3.30658e-07    9.00000e-01   
 3.31658e-07    9.00000e-01   
 3.32658e-07    9.00000e-01   
 3.33658e-07    9.00000e-01   
 3.34658e-07    9.00000e-01   
 3.35658e-07    9.00000e-01   
 3.36658e-07    9.00000e-01   
 3.37658e-07    9.00000e-01   
 3.38658e-07    9.00000e-01   
 3.39658e-07    9.00000e-01   
 3.40658e-07    9.00000e-01   
 3.41658e-07    9.00000e-01   
 3.42658e-07    9.00000e-01   
 3.43658e-07    9.00000e-01   
 3.44658e-07    9.00000e-01   
 3.45658e-07    9.00000e-01   
 3.46658e-07    9.00000e-01   
 3.47658e-07    9.00000e-01   
 3.48658e-07    9.00000e-01   
 3.49329e-07    9.00000e-01   
 3.50000e-07    9.00000e-01   
 3.50010e-07    9.00000e-01   
 3.50030e-07    9.00000e-01   
 3.50070e-07    9.00000e-01   
 3.50150e-07    9.00000e-01   
 3.50310e-07    9.00000e-01   
 3.50630e-07    9.00000e-01   
 3.51270e-07    9.00000e-01   
 3.52270e-07    9.00000e-01   
 3.53270e-07    9.00000e-01   
 3.54270e-07    9.00000e-01   
 3.55270e-07    9.00000e-01   
 3.56270e-07    9.00000e-01   
 3.57270e-07    9.00000e-01   
 3.58270e-07    9.00000e-01   
 3.59270e-07    9.00000e-01   
 3.60010e-07    9.00000e-01   
 3.60015e-07    9.00000e-01   
 3.60020e-07    9.00000e-01   
 3.60030e-07    9.00000e-01   
 3.60050e-07    9.00000e-01   
 3.60090e-07    9.00000e-01   
 3.60170e-07    9.00000e-01   
 3.60330e-07    9.00000e-01   
 3.60650e-07    9.00000e-01   
 3.61289e-07    9.00000e-01   
 3.62289e-07    9.00000e-01   
 3.63289e-07    9.00000e-01   
 3.64289e-07    9.00000e-01   
 3.65289e-07    9.00000e-01   
 3.66289e-07    9.00000e-01   
 3.67289e-07    9.00000e-01   
 3.68289e-07    9.00000e-01   
 3.69289e-07    9.00000e-01   
 3.70289e-07    9.00000e-01   
 3.71289e-07    9.00000e-01   
 3.72289e-07    9.00000e-01   
 3.73289e-07    9.00000e-01   
 3.74289e-07    9.00000e-01   
 3.75289e-07    9.00000e-01   
 3.76289e-07    9.00000e-01   
 3.77289e-07    9.00000e-01   
 3.78289e-07    9.00000e-01   
 3.79289e-07    9.00000e-01   
 3.80289e-07    9.00000e-01   
 3.81010e-07    9.00000e-01   
 3.81013e-07    9.00000e-01   
 3.81015e-07    8.99851e-01   
 3.81015e-07    8.45642e-01   
 3.81015e-07    8.71091e-01   
 3.81015e-07    8.78930e-01   
 3.81016e-07    8.80715e-01   
 3.81016e-07    8.83146e-01   
 3.81016e-07    8.84834e-01   
 3.81016e-07    8.86801e-01   
 3.81016e-07    8.88628e-01   
 3.81016e-07    8.90932e-01   
 3.81016e-07    8.93255e-01   
 3.81017e-07    8.95609e-01   
 3.81017e-07    8.97516e-01   
 3.81018e-07    8.98993e-01   
 3.81019e-07    8.99497e-01   
 3.81020e-07    8.99802e-01   
 3.81022e-07    8.99910e-01   
 3.81023e-07    8.99956e-01   
 3.81024e-07    8.99992e-01   
 3.81027e-07    9.00001e-01   
 3.81034e-07    9.00000e-01   
 3.81047e-07    9.00000e-01   
 3.81072e-07    9.00000e-01   
 3.81124e-07    9.00000e-01   
